player_name,club,position,cluster
Mohamed Salah,Liverpool,MF,2
Virgil van Dijk,Liverpool,DF,0
Ryan Gravenberch,Liverpool,MF,0
Alexis Mac Allister,Liverpool,MF,0
Ibrahima Konaté,Liverpool,DF,0
Dominik Szoboszlai,Liverpool,MF,0
Andrew Robertson,Liverpool,DF,0
Alisson,Liverpool,GK,0
Luis Díaz,Liverpool,"FW,MF",0
Trent Alexander-Arnold,Liverpool,DF,0
Cody Gakpo,Liverpool,MF,3
Curtis Jones,Liverpool,"MF,DF",3
Diogo Jota,Liverpool,FW,3
Caoimhín Kelleher,Liverpool,GK,1
Kostas Tsimikas,Liverpool,DF,1
Darwin Núñez,Liverpool,FW,3
